landmark_id,image1_x,image1_y,image2_x,image2_y,descriptor_distance,reprojection_error,stable_spot_score,ransac_inlier
1,452.64,89.81,488.67,69.91,135.805,0.4008,60.8186,True
2,412.39,211.46,420.4,245.19,119.1554,2.1004,59.6862,True
3,417.3,296.96,424.02,377.1,174.0718,1.347,60.9854,True
4,403.45,147.26,410.29,149.34,159.8656,0.9604,52.1292,True
5,522.59,88.43,595.59,75.88,169.455,1.4241,55.1861,True
6,604.39,51.65,718.35,32.37,154.8806,1.1074,44.051,True
